Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346.0,66,15,797.46,2,4,3,243,Loyaux
12347.0,2,2,1323.32,4,2,3,423,Potentiel
12348.0,73,1,222.16,2,1,1,211,Autres
12349.0,42,4,2695.29,3,3,4,334,Autres
12351.0,10,1,300.93,4,1,1,411,Potentiel
12352.0,10,2,343.8,4,2,2,422,Potentiel
12353.0,43,1,317.76,3,1,2,312,Autres
12355.0,202,1,488.21000000000004,1,1,2,112,Endormis
12356.0,15,3,3560.3,4,2,4,424,Potentiel
12357.0,23,2,12079.99,3,2,4,324,Autres
12358.0,10,3,2719.01,4,2,4,424,Potentiel
12359.0,60,8,2657.36,2,4,4,244,Loyaux
12360.0,14,6,1630.83,4,3,3,433,Autres
12361.0,97,3,321.35,2,2,2,222,Autres
12362.0,373,1,130.0,1,1,1,111,Endormis
12366.0,268,1,500.24,1,1,2,112,Endormis
12368.0,263,1,917.6999999999999,1,1,3,113,Endormis
12369.0,48,3,1791.15,3,2,4,324,Autres
12370.0,259,3,774.62,1,2,3,123,Endormis
12371.0,44,3,2179.42,3,2,4,324,Autres
12373.0,259,2,763.0500000000001,1,2,3,123,Endormis
12374.0,56,3,2246.29,2,2,4,224,Autres
12376.0,24,2,503.15,3,2,2,322,Autres
12377.0,16,2,1798.2,4,2,4,424,Potentiel
12378.0,197,1,1407.7,1,1,3,113,Endormis
12379.0,57,2,767.98,2,2,3,223,Autres
12380.0,16,10,8735.54,4,4,4,444,Champions
12382.0,317,1,18.38,1,1,1,111,Endormis
12385.0,14,2,1953.4,4,2,4,424,Potentiel
12386.0,1,1,258.9,4,1,1,411,Potentiel
12387.0,50,1,143.94,3,1,1,311,Autres
12388.0,80,2,1120.45,2,2,3,223,Autres
12389.0,37,3,1433.33,3,2,3,323,Autres
12391.0,99,6,2310.78,2,3,4,234,Autres
12392.0,226,1,234.75000000000003,1,1,1,111,Endormis
12393.0,17,3,839.55,3,2,3,323,Autres
12395.0,6,4,2048.64,4,3,4,434,Autres
12396.0,309,1,931.43,1,1,3,113,Endormis
12399.0,20,3,853.65,3,2,3,323,Autres
12400.0,49,1,205.25,3,1,1,311,Autres
12402.0,27,6,1044.05,3,3,3,333,Autres
12403.0,156,1,591.6600000000001,1,1,2,112,Endormis
12404.0,317,1,63.24,1,1,1,111,Endormis
12406.0,23,4,3158.66,3,3,4,334,Autres
12408.0,14,5,1467.37,4,3,3,433,Autres
12409.0,55,6,12659.7,2,3,4,234,Autres
12410.0,137,1,320.38,2,1,2,212,Autres
12411.0,44,1,346.9,3,1,2,312,Autres
12412.0,37,5,1385.95,3,3,3,333,Autres
12413.0,37,1,241.35,3,1,1,311,Autres
12414.0,98,5,650.0,2,3,2,232,Autres
12415.0,10,7,19543.84,4,4,4,444,Champions
12416.0,291,1,202.56,1,1,1,111,Endormis
12417.0,36,15,3186.71,3,4,4,344,Loyaux
12418.0,48,4,1356.87,3,3,3,333,Autres
12419.0,20,2,503.01,3,2,2,322,Autres
12421.0,50,3,296.56,3,2,1,321,Autres
12422.0,29,18,5540.6900000000005,3,4,4,344,Loyaux
12423.0,22,2,763.08,3,2,3,323,Autres
12424.0,57,5,1629.32,2,3,3,233,Autres
12425.0,65,2,1024.81,2,2,3,223,Autres
12426.0,281,2,796.28,1,2,3,123,Endormis
12427.0,6,1,303.5,4,1,1,411,Potentiel
12429.0,0,6,3785.91,4,3,4,434,Autres
12431.0,8,16,4438.02,4,4,4,444,Champions
12433.0,1,6,7357.79,4,3,4,434,Autres
12434.0,16,1,297.29,4,1,1,411,Potentiel
12435.0,31,4,6096.04,3,3,4,334,Autres
12437.0,28,28,7965.79,3,4,4,344,Loyaux
12439.0,317,3,1196.58,1,2,3,123,Endormis
12440.0,92,3,950.25,2,2,3,223,Autres
12441.0,1,1,173.55,4,1,1,411,Potentiel
12443.0,367,1,485.31,1,1,2,112,Endormis
12445.0,35,2,310.08000000000004,3,2,2,322,Autres
12449.0,45,2,768.6,3,2,3,323,Autres
12450.0,34,5,511.57,3,3,2,332,Autres
12451.0,98,4,3655.71,2,3,4,234,Autres
12454.0,30,7,22010.17,3,4,4,344,Loyaux
12455.0,80,4,3413.09,2,3,4,234,Autres
12457.0,52,2,710.83,2,2,3,223,Autres
12458.0,62,2,830.09,2,2,3,223,Autres
12459.0,240,1,454.36,1,1,2,112,Endormis
12460.0,91,1,326.65,2,1,2,212,Autres
12466.0,317,1,56.73,1,1,1,111,Endormis
12467.0,21,2,265.6,3,2,1,321,Autres
12468.0,65,7,2981.89,2,4,4,244,Loyaux
12469.0,157,2,3070.54,1,2,4,124,Endormis
12470.0,324,1,211.95,1,1,1,111,Endormis
12471.0,7,81,21061.59,4,4,4,444,Champions
12472.0,4,26,11889.75,4,4,4,444,Champions
12474.0,3,25,5247.34,4,4,4,444,Champions
12475.0,44,1,426.26,3,1,2,312,Autres
12476.0,9,18,7397.4400000000005,4,4,4,444,Champions
12477.0,34,3,7056.63,3,2,4,324,Autres
12480.0,34,4,2212.9700000000003,3,3,4,334,Autres
12481.0,0,8,6903.97,4,4,4,444,Champions
12482.0,84,32,25489.27,2,4,4,244,Loyaux
12483.0,13,14,2728.06,4,4,4,444,Champions
12484.0,112,8,1846.63,2,4,4,244,Loyaux
12485.0,164,1,708.1,1,1,3,113,Endormis
12486.0,66,1,1037.28,2,1,3,213,Autres
12487.0,365,2,310.79999999999995,1,2,2,122,Endormis
12490.0,13,12,4410.71,4,4,4,444,Champions
12492.0,38,1,452.0,3,1,2,312,Autres
12494.0,0,5,649.37,4,3,2,432,Autres
12495.0,269,2,391.4,1,2,2,122,Endormis
12496.0,255,2,45.34,1,2,1,121,Endormis
12497.0,35,3,5242.150000000001,3,2,4,324,Autres
12499.0,195,1,393.72,1,1,2,112,Endormis
12500.0,70,12,1728.74,2,4,3,243,Loyaux
12503.0,219,1,1126.0,1,1,3,113,Endormis
12504.0,52,2,297.0,2,2,1,221,Autres
12505.0,28,2,997.9,3,2,3,323,Autres
12507.0,219,1,539.25,1,1,2,112,Endormis
12510.0,94,14,5684.14,2,4,4,244,Loyaux
12511.0,49,2,3102.27,3,2,4,324,Autres
12514.0,276,1,580.08,1,1,2,112,Endormis
12516.0,65,2,1336.56,2,2,3,223,Autres
12519.0,99,2,417.05,2,2,2,222,Autres
12523.0,9,17,2669.68,4,4,4,444,Champions
12524.0,23,10,6675.14,3,4,4,344,Loyaux
12525.0,126,8,1112.28,2,4,3,243,Loyaux
12527.0,129,2,386.8,2,2,2,222,Autres
12529.0,157,2,321.18,1,2,2,122,Endormis
12530.0,44,7,2127.73,3,4,4,344,Loyaux
12531.0,315,2,1842.1299999999999,1,2,4,124,Endormis
12533.0,253,6,1585.79,1,3,3,133,Perdus
12537.0,43,1,732.94,3,1,3,313,Autres
12538.0,13,1,276.5,4,1,1,411,Potentiel
12539.0,85,3,5646.400000000001,2,2,4,224,Autres
12540.0,13,17,8910.25,4,4,4,444,Champions
12542.0,119,4,540.38,2,3,2,232,Autres
12543.0,83,1,980.25,2,1,3,213,Autres
12547.0,135,1,175.78,2,1,1,211,Autres
12549.0,210,6,1575.68,1,3,3,133,Perdus
12553.0,20,3,936.37,3,2,3,323,Autres
12554.0,83,1,468.5,2,1,2,212,Autres
12555.0,317,1,129.23,1,1,1,111,Endormis
12557.0,6,4,6725.18,4,3,4,434,Autres
12562.0,20,2,1185.18,3,2,3,323,Autres
12563.0,43,1,249.24,3,1,1,311,Autres
12567.0,2,8,4338.28,4,4,4,444,Champions
12568.0,279,1,70.0,1,1,1,111,Endormis
12570.0,317,1,77.52,1,1,1,111,Endormis
12573.0,16,4,556.87,4,3,2,432,Autres
12575.0,92,2,622.8199999999999,2,2,2,222,Autres
12576.0,27,5,876.89,3,3,3,333,Autres
12577.0,16,5,990.5,4,3,3,433,Autres
12578.0,20,3,1876.79,3,2,4,324,Autres
12580.0,211,1,637.2,1,1,2,112,Endormis
12582.0,57,2,1469.04,2,2,3,223,Autres
12583.0,8,14,7174.5599999999995,4,4,4,444,Champions
12586.0,3,4,1882.73,4,3,4,434,Autres
12588.0,34,4,763.6800000000001,3,3,3,333,Autres
12589.0,49,9,5650.47,3,4,4,344,Loyaux
12590.0,136,2,7.9,2,2,1,221,Autres
12591.0,25,2,886.1,3,2,3,323,Autres
12592.0,154,6,3575.1,1,3,4,134,Perdus
12594.0,13,6,1779.49,4,3,4,434,Autres
12595.0,139,1,299.02,1,1,1,111,Endormis
12598.0,70,6,1610.03,2,3,3,233,Autres
12599.0,16,6,1264.14,4,3,3,433,Autres
12600.0,6,16,2515.01,4,4,4,444,Champions
12601.0,39,1,104.19999999999999,3,1,1,311,Autres
12605.0,0,5,1240.45,4,3,3,433,Autres
12606.0,317,1,21.0,1,1,1,111,Endormis
12608.0,39,1,415.79,3,1,2,312,Autres
12609.0,9,7,2327.01,4,4,4,444,Champions
12613.0,23,7,3591.14,3,4,4,344,Loyaux
12615.0,48,7,3625.89,3,4,4,344,Loyaux
12616.0,17,2,447.5,3,2,2,322,Autres
12619.0,195,1,140.14,1,1,1,111,Endormis
12621.0,0,22,11205.04,4,4,4,444,Champions
12623.0,51,8,3550.7400000000002,3,4,4,344,Loyaux
12625.0,144,2,2481.06,1,2,4,124,Endormis
12629.0,20,2,1558.22,3,2,3,323,Autres
12631.0,66,6,2870.37,2,3,4,234,Autres
12632.0,155,4,870.88,1,3,3,133,Perdus
12633.0,17,5,3573.7799999999997,3,3,4,334,Autres
12634.0,170,2,490.0,1,2,2,122,Endormis
12635.0,27,2,1241.23,3,2,3,323,Autres
12636.0,373,1,141.0,1,1,1,111,Endormis
12637.0,13,4,2280.91,4,3,4,434,Autres
12638.0,274,1,249.8,1,1,1,111,Endormis
12639.0,69,2,826.27,2,2,3,223,Autres
12643.0,20,8,5429.7,3,4,4,344,Loyaux
12644.0,65,5,1543.53,2,3,3,233,Autres
12645.0,44,5,1784.52,3,3,4,334,Autres
12647.0,2,35,14390.19,4,4,4,444,Champions
12648.0,69,4,808.95,2,3,3,233,Autres
12649.0,0,7,1707.29,4,4,3,443,Champions
12651.0,13,4,276.2,4,3,1,431,Autres
12652.0,69,1,97.05000000000001,2,1,1,211,Autres
12653.0,161,1,1950.98,1,1,4,114,Endormis
12655.0,58,1,261.35,2,1,1,211,Autres
12656.0,60,4,2375.26,2,3,4,234,Autres
12661.0,71,1,162.0,2,1,1,211,Autres
12662.0,8,11,3144.39,4,4,4,444,Champions
12663.0,259,3,274.8,1,2,1,121,Endormis
12664.0,149,2,1188.16,1,2,3,123,Endormis
12665.0,52,3,261.5,2,2,1,221,Autres
12666.0,29,1,1248.42,3,1,3,313,Autres
12668.0,13,6,7575.88,4,3,4,434,Autres
12670.0,20,2,764.24,3,2,3,323,Autres
12671.0,241,1,2622.481,1,1,4,114,Endormis
12672.0,224,2,237.70000000000002,1,2,1,121,Endormis
12673.0,36,1,619.5,3,1,2,312,Autres
12675.0,188,4,980.95,1,3,3,133,Perdus
12676.0,43,6,1581.7,3,3,3,333,Autres
12677.0,190,3,400.9,1,2,2,122,Endormis
12678.0,10,10,17042.57,4,4,4,444,Champions
12681.0,2,30,17287.31,4,4,4,444,Champions
12682.0,0,24,11833.79,4,4,4,444,Champions
12683.0,0,9,4242.91,4,4,4,444,Champions
